Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,0,0,0,0,0,-0.002284039,39
0,1,0.6,-0.014721610583365,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,2,0.9,-0.029750220477581,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,3,1.2,-0.0447788313031197,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0598074421286583,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0748360529541969,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0898646637797356,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104893274605274,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,8,2.7,-0.119921885430813,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,9,3,-0.134950488805771,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,10,3.3,-0.14997909963131,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,11,3.6,-0.165007710456848,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,12,3.9,-0.180036321282387,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,13,4.2,-0.195064932107925,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,14,4.5,-0.210093542933464,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,4.8,-0.225122153759003,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,5.1,-0.240150764584541,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,5.4,-0.25517937541008,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,18,5.7,-0.27020800113678,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,19,6,-0.285543322563171,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,20,6.3,-0.300265222787857,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,21,6.6,-0.315600544214249,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,22,6.9,-0.330629140138626,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,23,7.2,-0.345657765865326,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,24,7.5,-0.360686361789703,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,25,7.8,-0.375714987516403,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,26,8.1,-0.390743583440781,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,27,8.4,-0.40577220916748,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,28,8.7,-0.420800805091858,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,29,9,-0.435829401016235,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,30,9.3,-0.450858026742935,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,31,9.6,-0.465886622667313,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,32,9.9,-0.480915248394012,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,33,10.2,-0.49594384431839,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,34,10.5,-0.510972440242767,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,35,10.8,-0.52600109577179,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,36,11.1,-0.541029691696167,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,37,11.4,-0.556058287620544,-0.001840237993747,0,0,0,0,-0.002284039,39
0,38,11.7,-0.571086883544922,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,39,12,-0.586115539073944,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,40,12.3,-0.601144134998322,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,41,12.6,-0.616172730922699,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,42,12.9,-0.631201326847076,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,43,13.2,-0.646229982376099,-0.001840237993747,0,0,0,0,-0.002284039,39
0,44,13.5,-0.66156530380249,-0.001840237993747,0,0,0,0,-0.002284039,39
0,45,13.8,-0.676593899726868,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,46,14.1,-0.691622495651245,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,47,14.4,-0.706651091575623,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,48,14.7,-0.721373021602631,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,49,15,-0.736708343029022,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,50,15.3,-0.7517369389534,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,51,15.6,-0.766765534877777,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,52,15.9,-0.781794190406799,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,53,16.2,-0.796822786331177,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,54,16.5,-0.811851382255554,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,55,16.8,-0.826879978179932,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,56,17.1,-0.841908633708954,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,57,17.4,-0.856937229633331,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,58,17.7,-0.871965825557709,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,59,18,-0.886994421482086,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,60,18.3,-0.902023077011108,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,61,18.6,-0.917051672935486,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,62,18.9,-0.932080268859863,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,63,19.2,-0.947108864784241,-0.00177889678161591,0,0,0,0,-0.002284039,39
