Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.3,0.000307000009343028,0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.6,-0.0144149046391249,6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,2,0.9,-0.0294435154646635,0,0,0,0,0,-0.002284039,39
0,3,1.2,-0.044472124427557,0,0,0,0,0,-0.002284039,39
0,4,1.5,-0.0595007352530956,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,5,1.8,-0.0742226392030716,-6.13412703387439E-05,0,0,0,0,-0.002284039,39
0,6,2.1,-0.0892512500286102,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,7,2.4,-0.104279860854149,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,8,2.7,-0.119308471679688,-0.000122682540677488,0,0,0,0,-0.002284039,39
0,9,3,-0.134030371904373,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,10,3.3,-0.149058982729912,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,11,3.6,-0.16408759355545,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,12,3.9,-0.178809508681297,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,13,4.2,-0.193838119506836,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,14,4.5,-0.208866730332375,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,15,4.8,-0.223895341157913,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,16,5.1,-0.238617241382599,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,17,5.4,-0.253645837306976,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,18,5.7,-0.268367767333984,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,19,6,-0.283396363258362,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,20,6.3,-0.298424988985062,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,21,6.6,-0.313453584909439,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,22,6.9,-0.328175485134125,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,23,7.2,-0.343204110860825,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,24,7.5,-0.358232706785202,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,25,7.8,-0.372954607009888,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,26,8.1,-0.387983232736588,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,27,8.4,-0.403011828660965,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,28,8.7,-0.418040454387665,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,29,9,-0.43276235461235,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,30,9.3,-0.447790950536728,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,31,9.6,-0.462819576263428,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,32,9.9,-0.477848172187805,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,33,10.2,-0.492570102214813,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,34,10.5,-0.507598698139191,-0.001840237993747,0,0,0,0,-0.002284039,39
0,35,10.8,-0.522320628166199,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,36,11.1,-0.537349224090576,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,37,11.4,-0.552377820014954,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,38,11.7,-0.567406415939331,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,39,12,-0.582128345966339,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,40,12.3,-0.597156941890717,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,41,12.6,-0.612185537815094,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,42,12.9,-0.626907467842102,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,43,13.2,-0.641936063766479,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,44,13.5,-0.656964659690857,-0.001840237993747,0,0,0,0,-0.002284039,39
0,45,13.8,-0.671993315219879,-0.001840237993747,0,0,0,0,-0.002284039,39
0,46,14.1,-0.686715185642242,-0.001840237993747,0,0,0,0,-0.002284039,39
0,47,14.4,-0.701743841171265,-0.001840237993747,0,0,0,0,-0.002284039,39
0,48,14.7,-0.716772437095642,-0.001840237993747,0,0,0,0,-0.002284039,39
0,49,15,-0.731494307518005,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,50,15.3,-0.746522963047028,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,51,15.6,-0.761551558971405,-0.00177889678161591,0,0,0,0,-0.002284039,39
