Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.5,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,1,-0.0493794269859791,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,2,1.5,-0.0993725582957268,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,3,2,-0.149365693330765,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,4,2.5,-0.19905212521553,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,5,3,-0.249045252799988,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,6,3.5,-0.299345105886459,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,7,4,-0.349031507968903,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,8,4.5,-0.399024665355682,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,9,5,-0.44901779294014,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,10,5.5,-0.499010920524597,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,11,6,-0.549004077911377,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,12,6.5,-0.598997175693512,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,13,7,-0.648990333080292,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,14,7.5,-0.698983430862427,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,15,8,-0.748976588249207,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,16,8.5,-0.798969745635986,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,17,9,-0.848656177520752,-0.00147219048812985,0,0,0,0,-0.002284039,39
0,18,9.5,-0.898649275302887,-0.00171755545306951,0,0,0,0,-0.002284039,39
0,19,10,-0.948642432689667,-0.00196292065083981,0,0,0,0,-0.002284039,39
0,20,10.5,-0.998635530471802,-0.00208560307510197,0,0,0,0,-0.002284039,39
0,21,11,-1.04862868785858,-0.00226962682791054,0,0,0,0,-0.002284039,39
0,22,11.5,-1.09862184524536,-0.00251499190926552,0,0,0,0,-0.002284039,39
0,23,12,-1.14861500263214,-0.00294438097625971,0,0,0,0,-0.002284039,39
0,24,12.5,-1.19860804080963,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,25,13,-1.24860119819641,-0.00392584130167961,0,0,0,0,-0.002284039,39
0,26,13.5,-1.29859435558319,-0.00447791256010532,0,0,0,0,-0.002284039,39
0,27,14,-1.34858751296997,-0.00515266647562385,0,0,0,0,-0.002284039,39
0,28,14.5,-1.39858067035675,-0.00619546789675951,0,0,0,0,-0.002284039,39
0,29,15,-1.44857370853424,-0.00772899994626641,0,0,0,0,-0.002284039,39
0,30,15.5,-1.49826014041901,-0.0099986270070076,0,0,0,0,-0.002284039,39
0,31,16,-1.54825329780579,-0.0129430079832673,0,0,0,0,-0.002284039,39
0,32,16.5,-1.59824645519257,-0.0274195466190577,0,0,0,0,-0.002284039,39
1,33,17,-1.5485600233078,-0.00803570635616779,0,0,0,0,-0.002284039,39
1,34,17.5,-1.49856686592102,-0.0102439913898706,0,0,0,0,-0.002284039,39
1,35,18,-1.44857370853424,-0.00803570635616779,0,0,0,0,-0.002284039,39
1,36,18.5,-1.39858067035675,-0.00613412680104375,0,0,0,0,-0.002284039,39
1,37,19,-1.34858751296997,-0.00460059521719813,0,0,0,0,-0.002284039,39
1,38,19.5,-1.29859435558319,-0.00343511090613902,0,0,0,0,-0.002284039,39
1,39,20,-1.24860119819641,-0.00263767456635833,0,0,0,0,-0.002284039,39
1,40,20.5,-1.19860804080963,-0.00202426174655557,0,0,0,0,-0.002284039,39
1,41,21,-1.14861500263214,-0.00159487291239202,0,0,0,0,-0.002284039,39
1,42,21.5,-1.09892857074738,-0.00128816661890596,0,0,0,0,-0.002284039,39
1,43,22,-1.0489354133606,-0.00104280153755099,0,0,0,0,-0.002284039,39
1,44,22.5,-0.998942255973816,-0.000858777726534754,0,0,0,0,-0.002284039,39
1,45,23,-0.948949098587036,-0.000674753973726183,0,0,0,0,-0.002284039,39
1,46,23.5,-0.898956000804901,-0.000552071433048695,0,0,0,0,-0.002284039,39
1,47,24,-0.848962843418121,-0.000368047622032464,0,0,0,0,-0.002284039,39
1,48,24.5,-0.798969745635986,-0.000184023811016232,0,0,0,0,-0.002284039,39
1,49,25,-0.748976588249207,0,0,0,0,0,-0.002284039,39
1,50,25.5,-0.698983430862427,0.000245365081354976,0,0,0,0,-0.002284039,39
1,51,26,-0.648990333080292,0.000368047622032464,0,0,0,0,-0.002284039,39
1,52,26.5,-0.598997175693512,0.000245365081354976,0,0,0,0,-0.002284039,39
1,53,27,-0.549004077911377,6.13412703387439E-05,0,0,0,0,-0.002284039,39
1,54,27.5,-0.499010920524597,0,0,0,0,0,-0.002284039,39
1,55,28,-0.449324488639832,0,0,0,0,0,-0.002284039,39
1,56,28.5,-0.399331361055374,0.000245365081354976,0,0,0,0,-0.002284039,39
