Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,1,0.15,-0.0144149046391249,-0.000184023811016232,0,0,0,0,-0.002284039,39
0,2,0.225,-0.0294435154646635,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,0.3,-0.044472124427557,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0745293498039246,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0892512500286102,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104279860854149,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119308471679688,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134337082505226,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149365693330765,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164394304156303,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179422914981842,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194451525807381,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209480136632919,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224202036857605,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,16,1.275,-0.239230647683144,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,17,1.35,-0.254259258508682,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,18,1.425,-0.269287884235382,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,19,1.5,-0.28431648015976,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,20,1.575,-0.299038380384445,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,21,1.65,-0.314373701810837,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,22,1.725,-0.329402327537537,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,23,1.8,-0.344124227762222,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,24,1.875,-0.3591528236866,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,25,1.95,-0.3741814494133,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,26,2.025,-0.389210045337677,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,27,2.1,-0.404238671064377,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,28,2.175,-0.419267266988754,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,29,2.25,-0.434295892715454,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,30,2.325,-0.44901779294014,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,31,2.4,-0.464046388864517,-0.00153353170026094,0,0,0,0,-0.002284039,39
0,32,2.475,-0.479075014591217,-0.00165621424093843,0,0,0,0,-0.002284039,39
0,33,2.55,-0.494103610515594,-0.00177889678161591,0,0,0,0,-0.002284039,39
0,34,2.625,-0.509132206439972,-0.0019015793222934,0,0,0,0,-0.002284039,39
0,35,2.7,-0.524160861968994,-0.00202426174655557,0,0,0,0,-0.002284039,39
0,36,2.775,-0.539189457893372,-0.00220828573219478,0,0,0,0,-0.002284039,39
0,37,2.85,-0.554218053817749,-0.00233096815645695,0,0,0,0,-0.002284039,39
0,38,2.925,-0.568939983844757,-0.00257633323781192,0,0,0,0,-0.002284039,39
0,39,3,-0.583968579769135,-0.00276035699062049,0,0,0,0,-0.002284039,39
0,40,3.075,-0.598997175693512,-0.00306706340052187,0,0,0,0,-0.002284039,39
0,41,3.15,-0.614025771617889,-0.00337376981042326,0,0,0,0,-0.002284039,39
0,42,3.225,-0.629054427146912,-0.00368047598749399,0,0,0,0,-0.002284039,39
0,43,3.3,-0.644083023071289,-0.00398718239739537,0,0,0,0,-0.002284039,39
