Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,0.075,0.000307000009343028,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,1,0.15,-0.0144149046391249,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,2,0.225,-0.0294435154646635,-0.000245365081354976,0,0,0,0,-0.002284039,39
0,3,0.3,-0.044472124427557,-0.00030670635169372,0,0,0,0,-0.002284039,39
0,4,0.375,-0.0595007352530956,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,5,0.45,-0.0745293498039246,-0.000368047622032464,0,0,0,0,-0.002284039,39
0,6,0.525,-0.0892512500286102,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,7,0.6,-0.104586571455002,-0.000429388863267377,0,0,0,0,-0.002284039,39
0,8,0.675,-0.119308471679688,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,9,0.75,-0.134643793106079,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,10,0.825,-0.149672403931618,-0.000490730162709951,0,0,0,0,-0.002284039,39
0,11,0.9,-0.164701014757156,-0.000552071433048695,0,0,0,0,-0.002284039,39
0,12,0.975,-0.179729625582695,-0.000613412703387439,0,0,0,0,-0.002284039,39
0,13,1.05,-0.194758236408234,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,14,1.125,-0.209480136632919,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,15,1.2,-0.224815458059311,-0.000674753973726183,0,0,0,0,-0.002284039,39
0,16,1.275,-0.23984406888485,-0.000736095244064927,0,0,0,0,-0.002284039,39
0,17,1.35,-0.254872679710388,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,18,1.425,-0.269901275634766,-0.00079743645619601,0,0,0,0,-0.002284039,39
0,19,1.5,-0.284929901361465,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,20,1.575,-0.299651801586151,-0.000858777726534754,0,0,0,0,-0.002284039,39
0,21,1.65,-0.314987123012543,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,22,1.725,-0.33001571893692,-0.000920118996873498,0,0,0,0,-0.002284039,39
0,23,1.8,-0.34504434466362,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,24,1.875,-0.359766244888306,-0.000981460325419903,0,0,0,0,-0.002284039,39
0,25,1.95,-0.375101566314697,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,26,2.025,-0.390130162239075,-0.00104280153755099,0,0,0,0,-0.002284039,39
0,27,2.1,-0.405158787965775,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,28,2.175,-0.420187383890152,-0.00110414286609739,0,0,0,0,-0.002284039,39
0,29,2.25,-0.435216009616852,-0.00116548407822847,0,0,0,0,-0.002284039,39
0,30,2.325,-0.450244605541229,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,31,2.4,-0.465273231267929,-0.00122682540677488,0,0,0,0,-0.002284039,39
0,32,2.475,-0.480301827192307,-0.00128816661890596,0,0,0,0,-0.002284039,39
0,33,2.55,-0.495330452919006,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,34,2.625,-0.510359048843384,-0.00134950794745237,0,0,0,0,-0.002284039,39
0,35,2.7,-0.525387644767761,-0.00141084915958345,0,0,0,0,-0.002284039,39
0,36,2.775,-0.540416300296783,-0.00141084915958345,0,0,0,0,-0.002284039,39
